block_number,trial_number,state_id,stim_id,q_values,action
0,42815,State CE,CE,"[np.float64(0.6789103086862444), np.float64(0.140685188525608)]",0
0,42816,State HN,HN,"[np.float64(-0.7719734083702416), np.float64(0.74)]",1
0,42817,State BH,BH,"[np.float64(-0.0322996927375317), np.float64(-0.7719734083702416)]",0
0,42818,State CB,CB,"[np.float64(0.6789103086862444), np.float64(-0.0322996927375317)]",0
0,42819,State CE,CE,"[np.float64(0.6789103086862444), np.float64(0.140685188525608)]",0
0,42820,State EF,EF,"[np.float64(0.140685188525608), np.float64(-0.7622361372160831)]",0
0,42821,State EH,EH,"[np.float64(0.140685188525608), np.float64(-0.7719734083702416)]",0
0,42822,State GN,GN,"[np.float64(0.030465388169781123), np.float64(0.74)]",1
0,42823,State CN,CN,"[np.float64(0.6789103086862444), np.float64(0.74)]",1
0,42824,State CG,CG,"[np.float64(0.6789103086862444), np.float64(0.030465388169781123)]",0
0,42825,State BF,BF,"[np.float64(-0.0322996927375317), np.float64(-0.7622361372160831)]",0
0,42826,State GF,GF,"[np.float64(0.030465388169781123), np.float64(-0.7622361372160831)]",0
0,42827,State DG,DG,"[np.float64(-0.13060466022097497), np.float64(0.030465388169781123)]",1
0,42828,State BF,BF,"[np.float64(-0.0322996927375317), np.float64(-0.7622361372160831)]",0
0,42829,State BH,BH,"[np.float64(-0.0322996927375317), np.float64(-0.7719734083702416)]",0
0,42830,State EH,EH,"[np.float64(0.140685188525608), np.float64(-0.7719734083702416)]",0
0,42831,State BE,BE,"[np.float64(-0.0322996927375317), np.float64(0.140685188525608)]",0
0,42832,State AB,AB,"[np.float64(0.5461130850813913), np.float64(-0.0322996927375317)]",0
0,42833,State DH,DH,"[np.float64(-0.13060466022097497), np.float64(-0.7719734083702416)]",0
0,42834,State EN,EN,"[np.float64(0.140685188525608), np.float64(0.74)]",1
0,42835,State BE,BE,"[np.float64(-0.0322996927375317), np.float64(0.140685188525608)]",1
0,42836,State CH,CH,"[np.float64(0.6789103086862444), np.float64(-0.7719734083702416)]",0
0,42837,State DN,DN,"[np.float64(-0.13060466022097497), np.float64(0.74)]",1
0,42838,State FN,FN,"[np.float64(-0.7622361372160831), np.float64(0.74)]",1
0,42839,State CE,CE,"[np.float64(0.6789103086862444), np.float64(0.140685188525608)]",0
0,42840,State GN,GN,"[np.float64(0.030465388169781123), np.float64(0.74)]",1
0,42841,State DG,DG,"[np.float64(-0.13060466022097497), np.float64(0.030465388169781123)]",0
0,42842,State BH,BH,"[np.float64(-0.0322996927375317), np.float64(-0.7719734083702416)]",0
0,42843,State BH,BH,"[np.float64(-0.0322996927375317), np.float64(-0.7719734083702416)]",0
0,42844,State DE,DE,"[np.float64(-0.13060466022097497), np.float64(0.140685188525608)]",1
0,42845,State HN,HN,"[np.float64(-0.7719734083702416), np.float64(0.74)]",1
0,42846,State AF,AF,"[np.float64(0.5461130850813913), np.float64(-0.7622361372160831)]",0
0,42847,State AH,AH,"[np.float64(0.5461130850813913), np.float64(-0.7719734083702416)]",0
0,42848,State GN,GN,"[np.float64(0.030465388169781123), np.float64(0.74)]",1
0,42849,State EF,EF,"[np.float64(0.140685188525608), np.float64(-0.7622361372160831)]",0
0,42850,State FN,FN,"[np.float64(-0.7622361372160831), np.float64(0.74)]",1
0,42851,State AG,AG,"[np.float64(0.5461130850813913), np.float64(0.030465388169781123)]",0
0,42852,State FN,FN,"[np.float64(-0.7622361372160831), np.float64(0.74)]",1
0,42853,State AE,AE,"[np.float64(0.5461130850813913), np.float64(0.140685188525608)]",0
0,42854,State EN,EN,"[np.float64(0.140685188525608), np.float64(0.74)]",1
0,42855,State DH,DH,"[np.float64(-0.13060466022097497), np.float64(-0.7719734083702416)]",0
0,42856,State BN,BN,"[np.float64(-0.0322996927375317), np.float64(0.74)]",1
0,42857,State BH,BH,"[np.float64(-0.0322996927375317), np.float64(-0.7719734083702416)]",0
0,42858,State AN,AN,"[np.float64(0.5461130850813913), np.float64(0.74)]",1
0,42859,State BF,BF,"[np.float64(-0.0322996927375317), np.float64(-0.7622361372160831)]",0
0,42860,State DH,DH,"[np.float64(-0.13060466022097497), np.float64(-0.7719734083702416)]",0
0,42861,State CG,CG,"[np.float64(0.6789103086862444), np.float64(0.030465388169781123)]",0
0,42862,State DF,DF,"[np.float64(-0.13060466022097497), np.float64(-0.7622361372160831)]",0
0,42863,State CG,CG,"[np.float64(0.6789103086862444), np.float64(0.030465388169781123)]",0
0,42864,State CD,CD,"[np.float64(0.6789103086862444), np.float64(-0.13060466022097497)]",0
0,42865,State AB,AB,"[np.float64(0.5461130850813913), np.float64(-0.0322996927375317)]",0
0,42866,State FN,FN,"[np.float64(-0.7622361372160831), np.float64(0.74)]",1
0,42867,State BN,BN,"[np.float64(-0.0322996927375317), np.float64(0.74)]",1
0,42868,State CB,CB,"[np.float64(0.6789103086862444), np.float64(-0.0322996927375317)]",0
0,42869,State EF,EF,"[np.float64(0.140685188525608), np.float64(-0.7622361372160831)]",0
0,42870,State AF,AF,"[np.float64(0.5461130850813913), np.float64(-0.7622361372160831)]",0
0,42871,State CN,CN,"[np.float64(0.6789103086862444), np.float64(0.74)]",1
0,42872,State CG,CG,"[np.float64(0.6789103086862444), np.float64(0.030465388169781123)]",0
0,42873,State CN,CN,"[np.float64(0.6789103086862444), np.float64(0.74)]",0
0,42874,State HN,HN,"[np.float64(-0.7719734083702416), np.float64(0.74)]",1
0,42875,State AE,AE,"[np.float64(0.5461130850813913), np.float64(0.140685188525608)]",0
0,42876,State AB,AB,"[np.float64(0.5461130850813913), np.float64(-0.0322996927375317)]",0
0,42877,State GH,GH,"[np.float64(0.030465388169781123), np.float64(-0.7719734083702416)]",0
0,42878,State DE,DE,"[np.float64(-0.13060466022097497), np.float64(0.140685188525608)]",1
0,42879,State EF,EF,"[np.float64(0.140685188525608), np.float64(-0.7622361372160831)]",0
0,42880,State EN,EN,"[np.float64(0.140685188525608), np.float64(0.74)]",1
0,42881,State BH,BH,"[np.float64(-0.0322996927375317), np.float64(-0.7719734083702416)]",0
0,42882,State DH,DH,"[np.float64(-0.13060466022097497), np.float64(-0.7719734083702416)]",0
0,42883,State EH,EH,"[np.float64(0.140685188525608), np.float64(-0.7719734083702416)]",0
0,42884,State AF,AF,"[np.float64(0.5461130850813913), np.float64(-0.7622361372160831)]",0
0,42885,State EH,EH,"[np.float64(0.140685188525608), np.float64(-0.7719734083702416)]",0
0,42886,State DH,DH,"[np.float64(-0.13060466022097497), np.float64(-0.7719734083702416)]",0
0,42887,State BF,BF,"[np.float64(-0.0322996927375317), np.float64(-0.7622361372160831)]",0
0,42888,State HN,HN,"[np.float64(-0.7719734083702416), np.float64(0.74)]",1
0,42889,State DF,DF,"[np.float64(-0.13060466022097497), np.float64(-0.7622361372160831)]",0
0,42890,State EH,EH,"[np.float64(0.140685188525608), np.float64(-0.7719734083702416)]",0
0,42891,State AE,AE,"[np.float64(0.5461130850813913), np.float64(0.140685188525608)]",0
0,42892,State DN,DN,"[np.float64(-0.13060466022097497), np.float64(0.74)]",1
0,42893,State AG,AG,"[np.float64(0.5461130850813913), np.float64(0.030465388169781123)]",0
0,42894,State BE,BE,"[np.float64(-0.0322996927375317), np.float64(0.140685188525608)]",1
0,42895,State BH,BH,"[np.float64(-0.0322996927375317), np.float64(-0.7719734083702416)]",0
0,42896,State DH,DH,"[np.float64(-0.13060466022097497), np.float64(-0.7719734083702416)]",0
0,42897,State BE,BE,"[np.float64(-0.0322996927375317), np.float64(0.140685188525608)]",0
0,42898,State DE,DE,"[np.float64(-0.13060466022097497), np.float64(0.140685188525608)]",1
0,42899,State DF,DF,"[np.float64(-0.13060466022097497), np.float64(-0.7622361372160831)]",0
0,42900,State EF,EF,"[np.float64(0.140685188525608), np.float64(-0.7622361372160831)]",0
0,42901,State BN,BN,"[np.float64(-0.0322996927375317), np.float64(0.74)]",1
0,42902,State CF,CF,"[np.float64(0.6789103086862444), np.float64(-0.7622361372160831)]",0
0,42903,State EN,EN,"[np.float64(0.140685188525608), np.float64(0.74)]",1
0,42904,State AF,AF,"[np.float64(0.5461130850813913), np.float64(-0.7622361372160831)]",0
0,42905,State GH,GH,"[np.float64(0.030465388169781123), np.float64(-0.7719734083702416)]",0
0,42906,State CN,CN,"[np.float64(0.6789103086862444), np.float64(0.74)]",0
0,42907,State AD,AD,"[np.float64(0.5461130850813913), np.float64(-0.13060466022097497)]",0
0,42908,State CF,CF,"[np.float64(0.6789103086862444), np.float64(-0.7622361372160831)]",0
0,42909,State AG,AG,"[np.float64(0.5461130850813913), np.float64(0.030465388169781123)]",0
0,42910,State AN,AN,"[np.float64(0.5461130850813913), np.float64(0.74)]",1
0,42911,State GN,GN,"[np.float64(0.030465388169781123), np.float64(0.74)]",1
0,42912,State BF,BF,"[np.float64(-0.0322996927375317), np.float64(-0.7622361372160831)]",0
0,42913,State DF,DF,"[np.float64(-0.13060466022097497), np.float64(-0.7622361372160831)]",0
0,42914,State CD,CD,"[np.float64(0.6789103086862444), np.float64(-0.13060466022097497)]",0
0,42915,State DH,DH,"[np.float64(-0.13060466022097497), np.float64(-0.7719734083702416)]",0
0,42916,State CN,CN,"[np.float64(0.6789103086862444), np.float64(0.74)]",0
0,42917,State AD,AD,"[np.float64(0.5461130850813913), np.float64(-0.13060466022097497)]",0
0,42918,State CH,CH,"[np.float64(0.6789103086862444), np.float64(-0.7719734083702416)]",0
0,42919,State AE,AE,"[np.float64(0.5461130850813913), np.float64(0.140685188525608)]",0
0,42920,State DG,DG,"[np.float64(-0.13060466022097497), np.float64(0.030465388169781123)]",1
0,42921,State DN,DN,"[np.float64(-0.13060466022097497), np.float64(0.74)]",1
0,42922,State GH,GH,"[np.float64(0.030465388169781123), np.float64(-0.7719734083702416)]",0
0,42923,State CE,CE,"[np.float64(0.6789103086862444), np.float64(0.140685188525608)]",0
0,42924,State DG,DG,"[np.float64(-0.13060466022097497), np.float64(0.030465388169781123)]",1
0,42925,State GH,GH,"[np.float64(0.030465388169781123), np.float64(-0.7719734083702416)]",0
0,42926,State CB,CB,"[np.float64(0.6789103086862444), np.float64(-0.0322996927375317)]",0
0,42927,State CN,CN,"[np.float64(0.6789103086862444), np.float64(0.74)]",0
0,42928,State FN,FN,"[np.float64(-0.7622361372160831), np.float64(0.74)]",1
0,42929,State DN,DN,"[np.float64(-0.13060466022097497), np.float64(0.74)]",1
0,42930,State AG,AG,"[np.float64(0.5461130850813913), np.float64(0.030465388169781123)]",0
0,42931,State GH,GH,"[np.float64(0.030465388169781123), np.float64(-0.7719734083702416)]",0
0,42932,State DF,DF,"[np.float64(-0.13060466022097497), np.float64(-0.7622361372160831)]",0
0,42933,State BE,BE,"[np.float64(-0.0322996927375317), np.float64(0.140685188525608)]",0
0,42934,State DH,DH,"[np.float64(-0.13060466022097497), np.float64(-0.7719734083702416)]",0
0,42935,State GH,GH,"[np.float64(0.030465388169781123), np.float64(-0.7719734083702416)]",0
0,42936,State AD,AD,"[np.float64(0.5461130850813913), np.float64(-0.13060466022097497)]",0
0,42937,State CF,CF,"[np.float64(0.6789103086862444), np.float64(-0.7622361372160831)]",0
0,42938,State AF,AF,"[np.float64(0.5461130850813913), np.float64(-0.7622361372160831)]",0
0,42939,State AN,AN,"[np.float64(0.5461130850813913), np.float64(0.74)]",1
0,42940,State HN,HN,"[np.float64(-0.7719734083702416), np.float64(0.74)]",1
0,42941,State DG,DG,"[np.float64(-0.13060466022097497), np.float64(0.030465388169781123)]",0
0,42942,State AE,AE,"[np.float64(0.5461130850813913), np.float64(0.140685188525608)]",0
0,42943,State EN,EN,"[np.float64(0.140685188525608), np.float64(0.74)]",1
0,42944,State CN,CN,"[np.float64(0.6789103086862444), np.float64(0.74)]",1
0,42945,State GF,GF,"[np.float64(0.030465388169781123), np.float64(-0.7622361372160831)]",0
0,42946,State CD,CD,"[np.float64(0.6789103086862444), np.float64(-0.13060466022097497)]",0
0,42947,State EH,EH,"[np.float64(0.140685188525608), np.float64(-0.7719734083702416)]",0
0,42948,State AB,AB,"[np.float64(0.5461130850813913), np.float64(-0.0322996927375317)]",0
0,42949,State GN,GN,"[np.float64(0.030465388169781123), np.float64(0.74)]",1
0,42950,State EH,EH,"[np.float64(0.140685188525608), np.float64(-0.7719734083702416)]",0
0,42951,State AH,AH,"[np.float64(0.5461130850813913), np.float64(-0.7719734083702416)]",0
0,42952,State BN,BN,"[np.float64(-0.0322996927375317), np.float64(0.74)]",1
0,42953,State CN,CN,"[np.float64(0.6789103086862444), np.float64(0.74)]",1
0,42954,State HN,HN,"[np.float64(-0.7719734083702416), np.float64(0.74)]",1
0,42955,State HN,HN,"[np.float64(-0.7719734083702416), np.float64(0.74)]",1
0,42956,State BE,BE,"[np.float64(-0.0322996927375317), np.float64(0.140685188525608)]",1
0,42957,State BH,BH,"[np.float64(-0.0322996927375317), np.float64(-0.7719734083702416)]",0
0,42958,State CF,CF,"[np.float64(0.6789103086862444), np.float64(-0.7622361372160831)]",0
0,42959,State CH,CH,"[np.float64(0.6789103086862444), np.float64(-0.7719734083702416)]",0
0,42960,State BN,BN,"[np.float64(-0.0322996927375317), np.float64(0.74)]",1
0,42961,State BG,BG,"[np.float64(-0.0322996927375317), np.float64(0.030465388169781123)]",0
0,42962,State AE,AE,"[np.float64(0.5461130850813913), np.float64(0.140685188525608)]",1
0,42963,State DN,DN,"[np.float64(-0.13060466022097497), np.float64(0.74)]",1
0,42964,State GF,GF,"[np.float64(0.030465388169781123), np.float64(-0.7622361372160831)]",0
0,42965,State DF,DF,"[np.float64(-0.13060466022097497), np.float64(-0.7622361372160831)]",0
0,42966,State DN,DN,"[np.float64(-0.13060466022097497), np.float64(0.74)]",1
0,42967,State BG,BG,"[np.float64(-0.0322996927375317), np.float64(0.030465388169781123)]",0
0,42968,State CE,CE,"[np.float64(0.6789103086862444), np.float64(0.140685188525608)]",0
0,42969,State AG,AG,"[np.float64(0.5461130850813913), np.float64(0.030465388169781123)]",0
0,42970,State GF,GF,"[np.float64(0.030465388169781123), np.float64(-0.7622361372160831)]",0
0,42971,State CG,CG,"[np.float64(0.6789103086862444), np.float64(0.030465388169781123)]",0
0,42972,State GN,GN,"[np.float64(0.030465388169781123), np.float64(0.74)]",1
0,42973,State AH,AH,"[np.float64(0.5461130850813913), np.float64(-0.7719734083702416)]",0
0,42974,State AH,AH,"[np.float64(0.5461130850813913), np.float64(-0.7719734083702416)]",0
0,42975,State BG,BG,"[np.float64(-0.0322996927375317), np.float64(0.030465388169781123)]",0
0,42976,State BG,BG,"[np.float64(-0.0322996927375317), np.float64(0.030465388169781123)]",0
0,42977,State AH,AH,"[np.float64(0.5461130850813913), np.float64(-0.7719734083702416)]",0
0,42978,State AF,AF,"[np.float64(0.5461130850813913), np.float64(-0.7622361372160831)]",0
0,42979,State CH,CH,"[np.float64(0.6789103086862444), np.float64(-0.7719734083702416)]",0
0,42980,State EF,EF,"[np.float64(0.140685188525608), np.float64(-0.7622361372160831)]",0
0,42981,State DF,DF,"[np.float64(-0.13060466022097497), np.float64(-0.7622361372160831)]",0
0,42982,State DN,DN,"[np.float64(-0.13060466022097497), np.float64(0.74)]",1
0,42983,State BF,BF,"[np.float64(-0.0322996927375317), np.float64(-0.7622361372160831)]",0
0,42984,State AF,AF,"[np.float64(0.5461130850813913), np.float64(-0.7622361372160831)]",0
0,42985,State EF,EF,"[np.float64(0.140685188525608), np.float64(-0.7622361372160831)]",0
0,42986,State BN,BN,"[np.float64(-0.0322996927375317), np.float64(0.74)]",1
0,42987,State CH,CH,"[np.float64(0.6789103086862444), np.float64(-0.7719734083702416)]",0
0,42988,State AD,AD,"[np.float64(0.5461130850813913), np.float64(-0.13060466022097497)]",0
0,42989,State CF,CF,"[np.float64(0.6789103086862444), np.float64(-0.7622361372160831)]",0
0,42990,State CH,CH,"[np.float64(0.6789103086862444), np.float64(-0.7719734083702416)]",0
0,42991,State GN,GN,"[np.float64(0.030465388169781123), np.float64(0.74)]",1
0,42992,State GN,GN,"[np.float64(0.030465388169781123), np.float64(0.74)]",1
0,42993,State GN,GN,"[np.float64(0.030465388169781123), np.float64(0.74)]",1
0,42994,State EN,EN,"[np.float64(0.140685188525608), np.float64(0.74)]",1
0,42995,State AH,AH,"[np.float64(0.5461130850813913), np.float64(-0.7719734083702416)]",0
0,42996,State DF,DF,"[np.float64(-0.13060466022097497), np.float64(-0.7622361372160831)]",0
0,42997,State AF,AF,"[np.float64(0.5461130850813913), np.float64(-0.7622361372160831)]",0
0,42998,State DG,DG,"[np.float64(-0.13060466022097497), np.float64(0.030465388169781123)]",1
0,42999,State CF,CF,"[np.float64(0.6789103086862444), np.float64(-0.7622361372160831)]",0
0,43000,State CD,CD,"[np.float64(0.6789103086862444), np.float64(-0.13060466022097497)]",0
0,43001,State CE,CE,"[np.float64(0.6789103086862444), np.float64(0.140685188525608)]",0
0,43002,State FN,FN,"[np.float64(-0.7622361372160831), np.float64(0.74)]",1
0,43003,State AB,AB,"[np.float64(0.5461130850813913), np.float64(-0.0322996927375317)]",0
0,43004,State CB,CB,"[np.float64(0.6789103086862444), np.float64(-0.0322996927375317)]",0
0,43005,State AD,AD,"[np.float64(0.5461130850813913), np.float64(-0.13060466022097497)]",0
0,43006,State CH,CH,"[np.float64(0.6789103086862444), np.float64(-0.7719734083702416)]",0
0,43007,State CG,CG,"[np.float64(0.6789103086862444), np.float64(0.030465388169781123)]",0
